		com.google.Translate	 <vacio>	 1.1.0.1360	  <vacio> 	yes	  <vacio> 			
		AVPlayer.eplayworks.com	 AVPlayer (???? ???? ???? ????)	1.401	 2.670,00   	no	 2.670,00   	0		
		com.tomtom.North America	 TomTom N America P	 1.6	 1.600,00   	yes	 1.600,00   	0		
		com.chairentertainment.birthright	 Infinity Blade	 7630.0	 510,53   	yes	 510,53   	0		
		com.miniclip.Fragger	 Fragger	149	 308,31   	yes	 308,31   	0		
		com.gamehive.AntrimEscFullEng	 Antrim Escape I	 3.0	 135,95   	yes	 135,95   	0		
		com.touchfoo.Soosiz	 Soosiz	 1.3	 101,62   	yes	 101,62   	0		
		com.tigerstylegames.spider	 Spider: The Secret of Bryce Manor	 1.3	 97,60   	yes	 97,60   	0		
		com.reality-twist.daWindci	 daWindci	 1.1	 74,89   	yes	 74,89   	0		
		com.slovoed.SlovoEd-Classic-Italian-Spanish	 SlovoEd Classic Italian <-> Spanish Dictionary	 2.30	 68,05   	yes	 68,05   	0		
		com.lonelyplanet.cityguide.newyork	 New York City Guide - Lonely Planet	 2.3.1	 61,42   	yes	 61,42   	0		
		com.bigfishgames.bcasf	 Big City Adventure - San Francisco	 1.0	 53,49   	yes	 53,49   	0		
		com.lonelyplanet.cityguide.sanfrancisco1	 San Francisco Travel Guide - Lonely Planet	 2.2.9.1	 53,23   	yes	 53,23   	0		
		com.ensenasoft.backgammondeluxe	 Backgammon Deluxe	 1.0.4	 39,96   	yes	 39,96   	0		
		com.lonelyplanet.cityguide.boston	 Boston Travel Guide – Lonely Planet	 2.2.9	 38,04   	yes	 38,04   	0		
		com.lonelyplanet.cityguide.lasvegas	 Las Vegas Travel Guide – Lonely Planet	 2.2.9	 29,65   	yes	 29,65   	0		
		com.booking.BookingApp	 Booking.com Reservas de hotel en más de 135.000 hoteles	 3.3	 28,90   	yes	 28,90   	0		
		com.baffledbytravel.guide.newyork	 New York: The Best of New York by Baffled By Travel, 2010/2011 Edition	 1.5.2	 27,65   	yes	 27,65   	0		
		com.spokko.blocksPremium	 Blocks Mania Premium	 1.6.1	 26,73   	yes	 26,73   	0		
		com.orange.uk.co.lambis	 Lambi Islands	 2.0	 26,17   	yes	 26,17   	0		
		com.zenbrains.letris	 Letris: el juego de palabras	 2.1	 25,11   	yes	 25,11   	0		
		com.chillingo.cuttherope	 Cut the Rope	 1.3	 23,55   	yes	 23,55   	0		
		com.ensenasoft.mahjongdeluxe	 Mahjong Deluxe	 1.0.7	 23,06   	yes	 23,06   	0		
		com.FDGMobileGamesGbR.RagdollCannon	 PHYSICS GAMEBOX	 1.2	 22,52   	yes	 22,52   	0		
		com.FedericoKalayjian.Smoody	 Smoody	 1.1	 21,91   	yes	 21,91   	0		
		se.codify.labyrinth	 Labyrinth	 1.9.0	 21,69   	yes	 21,69   	0		
		com.ngmoco.Topple	 Topple	 1.9.2	 20,75   	yes	 20,75   	0		
		com.spokko.TikiPremium	 Tiki Totems Premium	 1.5.3	 20,75   	yes	 20,75   	0		
		com.chillingo.tokitori	 Toki Tori	 1.6.1	 15,16   	yes	 15,16   	0		
		H2P7T67KN7.HaslupToobzFree	 Toobz-Free	 1.6.3	 15,10   	yes	 15,10   	0		
		com.google.b612	 Google Earth	 3.2.0	 14,60   	yes	 14,60   	0		
		com.ultralingua.iphone.collins-de-en	 Übersetzungswörterbuch Deutsch-Englisch Collins Pro	 1.4.1	 13,11   	yes	 13,11   	0		
		com.google.GoogleMobile	 Búsqueda de Google	 0.8.2.6553	 11,94   	yes	 11,94   	0		
		com.ihandysoft.carpenter.level	 Nivelador iHandy	 1.55	 11,81   	yes	 11,81   	0		
		com.getdropbox.Dropbox	 Dropbox	 1.4.2	 11,37   	yes	 11,37   	0		
		com.utopiangames.RedBalls	 Red Ball Of Goo	 1.1	 11,01   	yes	 11,01   	0		
		com.springpadit.springpad	 Springpad	 2.2.1	 10,70   	yes	 10,70   	0		
		uk.co.mxdata.NewYorkSubwayMap	 New York Subway Map	 2.1.37	 10,45   	yes	 10,45   	0		
		com.spotify.client	 Spotify	41300037	 9,90   	yes	 9,90   	0		
		com.donutgames.cowsinspace	 Cows In Space	 1.11	 8,12   	yes	 8,12   	0		
		es.andressedano.definitio	 Definitio - Diccionario español	 1.04	 7,75   	yes	 7,75   	0		
		com.donutgames.catphysics	 Cat Physics	 1.11	 7,59   	yes	 7,59   	0		
		com.icsmobile.freeappaday.gold	 The FreeAppADay.com Official App - GOLD Edition	 1.0.4	 6,11   	yes	 6,11   	0		
		com.soundsbroken.gogodocs	 gogoDocs Google Docs™ Reader	 1.1.3	 6,11   	yes	 6,11   	0		
		com.the-cocktail.telepizza	 Telepizza	 1.2.1	 6,00   	yes	 6,00   	0		
		es.leafsoft.cineol	 CINeol	 1.0.3	 5,68   	yes	 5,68   	0		
